Time, art-blood-Compound, art-blood-Marker, art-blood-Metabolite, bile-Metabolite
0.5, 0, 0, 0, 0
1, 0, 0, 0, 0
1.5, 0, 0, 0, 0
2, 0, 0, 0, 0
2.5, 0, 0, 0, 0
3, 0, 0, 0, 0
3.5, 0, 0, 0, 0
4, 0.0004, 0.0002, 0, 0
4.5, 0.0034, 0, 0, 0
5, 0, 0, 0, 0
5.5, 0.002, 0.0012, 0, 0.0001
6, 0.0092, 0.0054, 0, 0
6.5, 0.0016, 0, 0, 0.0002
7, 0.0204, 0.0394, 0, 0
7.5, 0, 0, 0, 0
8, 0.0022, 0.0024, 0, 0
8.5, 0.02, 0.0102, 0, 0
9, 0.002, 0.0018, 0, 0.0001
9.5, 0.0018, 0, 0, 0.0002
10, 0.0022, 0.0028, 0.0001, 0
10.5, 0.002, 0.001, 0, 0.0003
11, 0.008, 0.0012, 0, 0.0001
11.5, 0, 0, 0, 0.0001
12, 0.0026, 0.0042, 0, 0.0004
12.5, 0.0262, 0.0342, 0, 0.0002
13, 0.0008, 0.001, 0, 0.0001
13.5, 0.0132, 0.019, 0, 0.0002
14, 0.0092, 0.0084, 0, 0.0002
14.5, 0, 0.0028, 0, 0
15, 0.0048, 0.0036, 0, 0
15.5, 0.0062, 0.0054, 0, 0.0001
16, 0.0086, 0, 0, 0.0003
16.5, 0.0038, 0.0052, 0, 0.0002
17, 0.0626, 0.0478, 0.0001, 0.0001
17.5, 0.0002, 0.0008, 0, 0.0001
18, 0.002, 0.002, 0, 0.0002
18.5, 0, 0, 0, 0.0002
19, 0.0024, 0.0016, 0, 0.0002
19.5, 0.0008, 0.0014, 0.0001, 0
20, 0.001, 0, 0, 0.0001
20.5, 0.0018, 0.0016, 0, 0
21, 0.0014, 0.0008, 0, 0
21.5, 0.001, 0.0016, 0, 0.0001
22, 0, 0.0004, 0, 0
22.5, 0, 0.0008, 0, 0.0002
23, 0.0022, 0.0018, 0, 0.0001
23.5, 0.0032, 0.0012, 0.0002, 0
24, 0.0012, 0.0022, 0, 0
24.5, 0, 0, 0, 0
25, 0, 0.0032, 0, 0.0001
25.5, 0.0002, 0, 0, 0
26, 0, 0, 0, 0
26.5, 0.0042, 0.0048, 0, 0.0001
27, 0.01, 0.003, 0, 0
27.5, 0.0034, 0.002, 0, 0.0001
28, 0, 0, 0, 0.0001
28.5, 0.006, 0.0066, 0, 0
29, 0.0022, 0.0028, 0, 0.0002
29.5, 0, 0.0028, 0, 0
30, 0.005, 0.0054, 0, 0.0001
30.5, 0.0024, 0.003, 0.0001, 0
31, 0.0002, 0.001, 0, 0
31.5, 0.0008, 0.0006, 0, 0
32, 0.0006, 0.0008, 0, 0.0001
32.5, 0.0008, 0, 0, 0
33, 0.0056, 0.0136, 0, 0
33.5, 0.01, 0.0164, 0, 0.0001
34, 0, 0, 0, 0
34.5, 0.0098, 0.008, 0, 0
35, 0.007, 0.0038, 0, 0
35.5, 0.003, 0.0076, 0.0001, 0
36, 0.006, 0.0072, 0.0001, 0.0001
36.5, 0.001, 0.0032, 0, 0
37, 0.0018, 0.0018, 0, 0
37.5, 0.0026, 0.0058, 0, 0.0001
38, 0.0026, 0.0028, 0, 0
38.5, 0.0018, 0.0012, 0, 0.0001
39, 0.004, 0.0026, 0, 0
39.5, 0, 0, 0, 0
40, 0.0016, 0.0012, 0, 0.0001
40.5, 0.0044, 0.0078, 0, 0
41, 0.0004, 0.002, 0, 0
41.5, 0.004, 0.0106, 0.0002, 0.0001
42, 0, 0, 0, 0
42.5, 0.002, 0.0034, 0, 0
43, 0.001, 0.0018, 0, 0.0001
43.5, 0.0006, 0.0022, 0, 0
44, 0, 0, 0, 0
44.5, 0, 0.0072, 0, 0
45, 0.0034, 0.0154, 0, 0.0001
45.5, 0.0006, 0.001, 0, 0
46, 0.0004, 0.002, 0, 0
46.5, 0.0002, 0.0008, 0, 0.0001
47, 0, 0, 0, 0
47.5, 0.0004, 0.0008, 0, 0.0001
48, 0.0008, 0.002, 0.0002, 0
48.5, 0.001, 0.0014, 0, 0
49, 0.001, 0.003, 0, 0.0001
49.5, 0.0012, 0.001, 0, 0
50, 0.002, 0.0004, 0, 0.0002
50.5, 0.0014, 0.0012, 0, 0
51, 0, 0, 0, 0
51.5, 0.002, 0.0016, 0, 0.0001
52, 0.0024, 0.0022, 0, 0
