Param Set 0
Nominal, Upper, Lower, Experimental
     0.002224,      0.004057,      0.000392,      0.001198
     0.002197,      0.004008,      0.000387,      0.001164
     0.002171,      0.003959,      0.000382,      0.001266
     0.002144,      0.003910,      0.000378,      0.001146
     0.002117,      0.003862,      0.000373,      0.001057
     0.002090,      0.003813,      0.000368,      0.001147
     0.002064,      0.003764,      0.000363,      0.001195
     0.002037,      0.003715,      0.000359,      0.001198
     0.002010,      0.003666,      0.000354,      0.001077
     0.001983,      0.003618,      0.000349,      0.001185
     0.001957,      0.003569,      0.000345,      0.001337
     0.001930,      0.003520,      0.000340,      0.001201
     0.001903,      0.003471,      0.000335,      0.001086
     0.001877,      0.003423,      0.000330,      0.001330
     0.001850,      0.003374,      0.000326,      0.001311
     0.001823,      0.003325,      0.000321,      0.001208
     0.001796,      0.003276,      0.000316,      0.001217
     0.001770,      0.003227,      0.000312,      0.001291
     0.001752,      0.003195,      0.000309,      0.001221
     0.001734,      0.003162,      0.000305,      0.001305
     0.001716,      0.003130,      0.000302,      0.001176
     0.001698,      0.003097,      0.000299,      0.001021
     0.001680,      0.003065,      0.000296,      0.001273
     0.001662,      0.003032,      0.000293,      0.001359
     0.001645,      0.003000,      0.000290,      0.001613
     0.001627,      0.002967,      0.000287,      0.001219
     0.001609,      0.002934,      0.000283,      0.001336
     0.001591,      0.002902,      0.000280,      0.001275
     0.001573,      0.002869,      0.000277,      0.001468
     0.001555,      0.002837,      0.000274,      0.001458
     0.001538,      0.002804,      0.000271,      0.001334
     0.001520,      0.002772,      0.000268,      0.001254
     0.001502,      0.002739,      0.000265,      0.001290
     0.001484,      0.002707,      0.000261,      0.001457
     0.001466,      0.002674,      0.000258,      0.001171
     0.001448,      0.002642,      0.000255,      0.001356
     0.001430,      0.002609,      0.000252,      0.001279
     0.001413,      0.002576,      0.000249,      0.001267
     0.001405,      0.002562,      0.000247,      0.001116
     0.001397,      0.002548,      0.000246,      0.001593
     0.001390,      0.002534,      0.000245,      0.001464
     0.001382,      0.002520,      0.000243,      0.001464
     0.001374,      0.002506,      0.000242,      0.001219
     0.001366,      0.002492,      0.000241,      0.001283
     0.001359,      0.002478,      0.000239,      0.001235
     0.001351,      0.002464,      0.000238,      0.001094
     0.001343,      0.002450,      0.000237,      0.001249
     0.001336,      0.002436,      0.000235,      0.001278
     0.001328,      0.002422,      0.000234,      0.001365
