Time, art-blood-Compound, art-blood-Marker, art-blood-Metabolite, bile-Metabolite
0.5, 0, 0, 0, 0
1, 0, 0, 0, 0
1.5, 0, 0, 0, 0
2, 0, 0, 0, 0
2.5, 0, 0, 0, 0
3, 0, 0, 0, 0
3.5, 0, 0, 0, 0
4, 0, 0, 0, 0
4.5, 0.0004, 0.0056, 0, 0
5, 0.0026, 0.0068, 0, 0
5.5, 0.0008, 0.0028, 0, 0
6, 0, 0, 0, 0
6.5, 0, 0, 0, 0.0002
7, 0, 0, 0, 0
7.5, 0.0012, 0.0008, 0, 0
8, 0.02, 0.0274, 0, 0.0002
8.5, 0.0006, 0.001, 0, 0
9, 0.0002, 0.0006, 0, 0
9.5, 0.0016, 0.0054, 0, 0
10, 0.0004, 0.0018, 0, 0
10.5, 0, 0.0032, 0, 0.0003
11, 0, 0.0016, 0, 0
11.5, 0.0004, 0.0028, 0, 0.0001
12, 0.0024, 0.0052, 0, 0
12.5, 0.0004, 0.0022, 0, 0
13, 0, 0.0018, 0, 0.0001
13.5, 0.0046, 0.0084, 0, 0
14, 0.0012, 0, 0, 0
14.5, 0.0542, 0.03, 0, 0
15, 0.0052, 0.0046, 0, 0
15.5, 0.005, 0.0032, 0, 0.0002
16, 0, 0, 0, 0
16.5, 0.0016, 0.0016, 0, 0.0001
17, 0.001, 0.0014, 0, 0
17.5, 0.0006, 0.0008, 0, 0.0003
18, 0.0002, 0, 0, 0
18.5, 0, 0, 0, 0
19, 0, 0, 0, 0.0001
19.5, 0.0006, 0.0036, 0, 0
20, 0.0012, 0.0044, 0, 0
20.5, 0, 0.0062, 0, 0
21, 0.0048, 0.002, 0, 0.0002
21.5, 0.0008, 0, 0, 0.0001
22, 0.0026, 0.003, 0, 0
22.5, 0.0054, 0.0094, 0, 0
23, 0, 0.0052, 0, 0.0002
23.5, 0.0042, 0.0032, 0, 0
24, 0.0116, 0.0186, 0, 0
24.5, 0.009, 0.012, 0, 0.0001
25, 0.0054, 0.0088, 0.0001, 0.0002
25.5, 0.0066, 0.0034, 0, 0
26, 0.0122, 0.0038, 0, 0
26.5, 0, 0, 0, 0
27, 0.0036, 0.0034, 0, 0
27.5, 0.0012, 0.0024, 0, 0.0001
28, 0, 0, 0, 0
28.5, 0.0016, 0.0004, 0.0001, 0.0001
29, 0.001, 0.0012, 0, 0
29.5, 0, 0, 0, 0.0002
30, 0, 0, 0, 0
30.5, 0.0106, 0.0026, 0, 0.0001
31, 0, 0, 0, 0
31.5, 0.0136, 0.0074, 0, 0.0001
32, 0.002, 0, 0, 0
32.5, 0.0006, 0.0004, 0, 0
33, 0, 0, 0, 0.0002
33.5, 0.0044, 0, 0, 0
34, 0.0028, 0, 0, 0
34.5, 0.0024, 0.0022, 0, 0.0001
35, 0.0054, 0.0028, 0, 0
35.5, 0.0036, 0.0018, 0, 0
36, 0, 0, 0, 0
36.5, 0.0068, 0.0028, 0, 0.0001
37, 0, 0.0004, 0, 0
37.5, 0.0156, 0.0138, 0, 0
38, 0.0232, 0.0026, 0, 0
38.5, 0.0008, 0.0006, 0, 0
39, 0.0006, 0, 0, 0.0002
39.5, 0.0074, 0, 0, 0
40, 0.0014, 0.001, 0.0002, 0
40.5, 0.0024, 0.0006, 0, 0
41, 0.0018, 0.001, 0, 0.0001
41.5, 0.0006, 0.0002, 0, 0
42, 0.0012, 0.001, 0.0001, 0.0001
42.5, 0.0002, 0, 0.0001, 0.0002
43, 0.0016, 0.0006, 0, 0
43.5, 0, 0.0004, 0, 0.0001
44, 0.0036, 0.0014, 0, 0
44.5, 0.0024, 0.002, 0.0001, 0.0001
45, 0.0018, 0.0014, 0, 0.0002
45.5, 0.0004, 0.0008, 0.0002, 0.0001
46, 0.0008, 0, 0, 0.0001
46.5, 0.0008, 0.001, 0, 0
47, 0.0034, 0.0016, 0, 0.0001
47.5, 0.002, 0.0018, 0, 0.0001
48, 0.0008, 0.0016, 0, 0
48.5, 0, 0, 0, 0.0001
49, 0.0018, 0.0016, 0.0001, 0.0001
49.5, 0.0014, 0.001, 0.0001, 0
50, 0.0026, 0.0008, 0, 0.0001
50.5, 0.0068, 0.0034, 0, 0
51, 0.0046, 0.003, 0, 0.0001
51.5, 0.0022, 0.0034, 0, 0.0001
52, 0.0064, 0.004, 0, 0
52.5, 0.0008, 0.0006, 0, 0.0002
