Time, art-blood-Compound, art-blood-Marker, art-blood-Metabolite, bile-Metabolite
81, 0.0012, 0.001, 0.0001, 0
81.5, 0, 0.0008, 0, 0.0001
82, 0.0018, 0.003, 0.0001, 0
82.5, 0.0006, 0.0004, 0, 0
83, 0, 0.0018, 0, 0.0002
83.5, 0.001, 0.0004, 0, 0.0001
84, 0, 0.0008, 0, 0
84.5, 0, 0.0012, 0, 0
85, 0.0018, 0.0006, 0, 0
85.5, 0.0014, 0.0022, 0, 0.0001
86, 0.0022, 0.0026, 0.0003, 0.0002
86.5, 0.0026, 0.0024, 0, 0.0001
87, 0.0044, 0.0028, 0, 0
87.5, 0.002, 0.0012, 0, 0
88, 0.0006, 0, 0, 0
88.5, 0.0024, 0.0008, 0.0002, 0
89, 0, 0, 0, 0.0002
89.5, 0.0028, 0.0024, 0, 0.0003
90, 0.0026, 0.0044, 0, 0.0001
90.5, 0.0014, 0.0042, 0, 0.0001
91, 0.0028, 0.0034, 0, 0
91.5, 0.0048, 0.0074, 0, 0
92, 0.0066, 0.0104, 0, 0
92.5, 0.0032, 0.005, 0, 0
93, 0.003, 0.0048, 0.0001, 0
93.5, 0, 0, 0, 0
94, 0.0018, 0.0018, 0, 0.0001
94.5, 0, 0, 0, 0.0001
95, 0.0048, 0.0036, 0, 0.0001
95.5, 0.005, 0.0046, 0, 0
96, 0.0016, 0.0032, 0, 0.0001
96.5, 0, 0, 0, 0.0003
97, 0.0018, 0.0028, 0, 0.0001
97.5, 0.0024, 0.0026, 0, 0.0001
98, 0.0024, 0.0032, 0.0001, 0.0002
98.5, 0.0024, 0.0022, 0, 0.0002
99, 0.0018, 0.002, 0, 0.0001
99.5, 0.002, 0.0002, 0, 0.0001
100, 0.0032, 0.0022, 0, 0.0002
100.5, 0.0014, 0.0026, 0, 0
101, 0.0014, 0.0026, 0, 0
