Time, art-blood-Compound, art-blood-Marker, art-blood-Metabolite, bile-Metabolite
0.5, 0, 0, 0, 0
1, 0, 0, 0, 0
1.5, 0, 0, 0, 0
2, 0, 0, 0, 0
2.5, 0, 0, 0, 0
3, 0, 0, 0, 0
3.5, 0, 0, 0, 0
4, 0, 0, 0, 0
4.5, 0, 0, 0, 0
5, 0.0002, 0, 0, 0
5.5, 0, 0, 0, 0
6, 0.0002, 0, 0, 0
6.5, 0.0006, 0.001, 0, 0.0001
7, 0.0004, 0, 0, 0
7.5, 0, 0, 0, 0
8, 0, 0, 0, 0
8.5, 0, 0, 0, 0
9, 0, 0, 0, 0.0001
9.5, 0.0004, 0, 0, 0
10, 0.0034, 0, 0, 0
10.5, 0, 0, 0, 0
11, 0, 0, 0, 0
11.5, 0, 0, 0, 0
12, 0.0002, 0, 0, 0
12.5, 0, 0, 0, 0
13, 0, 0, 0, 0
13.5, 0, 0, 0, 0
14, 0, 0, 0, 0
14.5, 0.0004, 0.0008, 0, 0
15, 0.0916, 0.0588, 0, 0
15.5, 0.0012, 0, 0, 0
16, 0, 0, 0, 0
16.5, 0, 0, 0, 0.0001
17, 0, 0.001, 0, 0
17.5, 0, 0.0086, 0, 0.0001
18, 0.0002, 0.0002, 0, 0
18.5, 0.002, 0.001, 0, 0
19, 0, 0, 0, 0
19.5, 0, 0, 0, 0.0001
20, 0, 0, 0, 0.0001
20.5, 0, 0.001, 0, 0
21, 0.0628, 0.0576, 0, 0.0001
21.5, 0.0008, 0.0002, 0, 0.0001
22, 0.0008, 0, 0, 0
22.5, 0.0004, 0, 0, 0
23, 0, 0, 0, 0
23.5, 0, 0.0002, 0, 0
24, 0, 0, 0, 0
24.5, 0.0002, 0.0002, 0, 0
25, 0, 0.0002, 0, 0
25.5, 0, 0, 0, 0
26, 0, 0, 0, 0
26.5, 0, 0.0004, 0, 0
27, 0, 0, 0, 0
27.5, 0, 0, 0, 0
28, 0, 0.0004, 0, 0
28.5, 0, 0, 0, 0
29, 0, 0, 0, 0
29.5, 0.0044, 0.0022, 0, 0
30, 0, 0, 0, 0
30.5, 0.0002, 0, 0, 0
31, 0, 0, 0, 0
31.5, 0, 0, 0, 0
32, 0, 0, 0, 0
32.5, 0.0002, 0, 0, 0
33, 0, 0, 0, 0
33.5, 0, 0, 0, 0
34, 0, 0, 0, 0
34.5, 0, 0, 0, 0
35, 0, 0, 0, 0
35.5, 0, 0, 0, 0
36, 0, 0, 0, 0
36.5, 0.0002, 0.0002, 0, 0
37, 0.0002, 0, 0, 0
37.5, 0, 0, 0, 0
38, 0.0002, 0.0004, 0, 0
38.5, 0, 0, 0, 0
39, 0, 0.0002, 0, 0
39.5, 0.0002, 0, 0, 0
40, 0.0012, 0.0002, 0.0001, 0
40.5, 0.0006, 0.001, 0, 0
41, 0.0006, 0.0016, 0, 0
41.5, 0, 0, 0, 0
42, 0.0002, 0.0012, 0, 0
42.5, 0.0008, 0.0012, 0.0001, 0
43, 0, 0, 0, 0
43.5, 0.0018, 0.0018, 0, 0
44, 0.0004, 0.0016, 0, 0
44.5, 0.0006, 0.001, 0, 0.0001
45, 0.0016, 0.0016, 0, 0.0001
45.5, 0.0004, 0.0002, 0, 0
46, 0.0008, 0.0006, 0, 0
46.5, 0.004, 0.0044, 0, 0
47, 0.0002, 0.0018, 0, 0
47.5, 0.0014, 0.0022, 0, 0
48, 0, 0.002, 0, 0
48.5, 0.0032, 0.004, 0, 0.0002
49, 0.0006, 0.001, 0, 0
49.5, 0.0012, 0.0018, 0, 0.0001
50, 0, 0, 0, 0
50.5, 0.0012, 0.0018, 0, 0
51, 0, 0, 0, 0
51.5, 0.0012, 0.0014, 0, 0
52, 0.004, 0.0084, 0, 0.0001
52.5, 0.001, 0.0008, 0, 0
53, 0, 0, 0, 0
53.5, 0.001, 0.0008, 0, 0.0001
54, 0.001, 0.0014, 0, 0.0002
54.5, 0.003, 0.0016, 0, 0
55, 0.0008, 0.0006, 0, 0
55.5, 0.0008, 0.001, 0, 0
56, 0.0008, 0.0014, 0.0001, 0.0001
56.5, 0.0024, 0.0024, 0, 0
57, 0.0016, 0.0016, 0, 0.0001
57.5, 0.0022, 0.0016, 0, 0
58, 0.0004, 0.0004, 0, 0
58.5, 0.0028, 0.0036, 0, 0
59, 0.0012, 0.0016, 0, 0
