Time, art-blood-Compound, art-blood-Marker, art-blood-Metabolite, bile-Metabolite
74, 0, 0.001, 0, 0
74.5, 0.0068, 0.0022, 0, 0
75, 0.003, 0.0022, 0, 0
75.5, 0.0012, 0.003, 0, 0.0001
76, 0.0056, 0.0068, 0, 0.0001
76.5, 0.003, 0.004, 0, 0.0001
77, 0, 0, 0, 0.0002
77.5, 0.0024, 0.004, 0, 0.0001
78, 0.0052, 0.0054, 0, 0.0001
78.5, 0.0096, 0.0058, 0, 0
79, 0, 0.0036, 0, 0.0001
79.5, 0.0018, 0.0024, 0, 0.0001
80, 0.0068, 0.0054, 0, 0.0001
80.5, 0.0052, 0.0052, 0, 0
81, 0.0078, 0.0076, 0.0002, 0
81.5, 0.0168, 0.0066, 0.0001, 0
82, 0.0058, 0.0054, 0.0002, 0
82.5, 0, 0.0024, 0, 0
83, 0.008, 0.0128, 0.0003, 0
83.5, 0.004, 0.0078, 0, 0.0001
84, 0.005, 0.0068, 0, 0
84.5, 0.0024, 0.0044, 0.0003, 0
85, 0.0028, 0.003, 0, 0.0002
85.5, 0.0008, 0.0012, 0, 0
86, 0.0102, 0.0126, 0, 0.0003
86.5, 0.0046, 0.0048, 0, 0
87, 0.0076, 0.0072, 0, 0
87.5, 0.0018, 0.0076, 0, 0.0001
88, 0.0046, 0.009, 0, 0.0002
88.5, 0.0076, 0.0142, 0.0002, 0
89, 0.0006, 0.002, 0, 0
89.5, 0.0014, 0.0024, 0, 0.0008
90, 0.0032, 0.0038, 0.0001, 0.0002
90.5, 0.0056, 0.0058, 0, 0
91, 0.0008, 0.0008, 0, 0.0002
91.5, 0, 0.0016, 0, 0
92, 0, 0, 0, 0
92.5, 0.0038, 0.006, 0, 0.0001
93, 0.0012, 0.0024, 0, 0.0001
93.5, 0.002, 0.0024, 0, 0.0001
94, 0.001, 0.0008, 0.0001, 0
94.5, 0.0018, 0.002, 0, 0.0001
95, 0.0016, 0.0036, 0, 0.0002
95.5, 0.0012, 0.0008, 0, 0
96, 0.0012, 0.0026, 0.0001, 0
96.5, 0.001, 0.001, 0, 0
97, 0.0026, 0.0036, 0, 0.0002
97.5, 0.001, 0.002, 0, 0.0002
98, 0.0012, 0.0038, 0.0001, 0.0001
98.5, 0.0016, 0.0032, 0.0001, 0.0002
99, 0.0008, 0.002, 0, 0.0002
99.5, 0.0008, 0.001, 0.0001, 0
100, 0.0006, 0.0014, 0, 0
100.5, 0.001, 0.0018, 0, 0
101, 0.0012, 0.0018, 0, 0.0001
