Time, Compound, Marker, Metabolite, Total, 
49, 0.000971429, 0.00143143, 7.14286e-06, 0.00158286, 
49.5, 0.000917143, 0.00109714, 7.14286e-06, 0.00142286, 
50, 0.00200571, 0.00246286, 1.28571e-05, 0.00265, 
50.5, 0.00159143, 0.00145429, 1.28571e-05, 0.00177857, 
51, 0.00149143, 0.00138286, 8.57143e-06, 0.00165714, 
51.5, 0.00137429, 0.00142571, 5.71429e-06, 0.00164, 
52, 0.00199429, 0.00181714, 2.71429e-05, 0.00217286, 
52.5, 0.00147429, 0.00182857, 1.57143e-05, 0.00181714, 
53, 0.00178857, 0.00150286, 1.28571e-05, 0.00195714, 
53.5, 0.00146286, 0.00133714, 1.71429e-05, 0.00171143, 
54, 0.00118857, 0.00121429, 5.71429e-06, 0.00137286, 
54.5, 0.00202857, 0.00233429, 1.14286e-05, 0.00234714, 
55, 0.00189714, 0.00158857, 1.85714e-05, 0.00193143, 
55.5, 0.00111714, 0.00123429, 7.14286e-06, 0.00144143, 
56, 0.00164286, 0.00150286, 2e-05, 0.00173714, 
56.5, 0.00155429, 0.00162, 1.42857e-05, 0.00173857, 
57, 0.00137714, 0.00144857, 1.71429e-05, 0.00164286, 
57.5, 0.00124286, 0.00143429, 1.28571e-05, 0.00146857, 
58, 0.00139429, 0.00130571, 5.71429e-06, 0.00159571, 
58.5, 0.00116571, 0.00134857, 1.71429e-05, 0.00151429, 
59, 0.00126571, 0.00162286, 2.28571e-05, 0.00176143, 
59.5, 0.00107143, 0.00156286, 5.71429e-06, 0.00154, 
60, 0.00126286, 0.00215143, 1.28571e-05, 0.00207143, 
60.5, 0.00139714, 0.00149714, 7.14286e-06, 0.00163714, 
61, 0.00124286, 0.00144857, 2e-05, 0.00160286, 
61.5, 0.00188857, 0.00234286, 2.42857e-05, 0.00224857, 
62, 0.00154571, 0.00186857, 2e-05, 0.00195571, 
62.5, 0.00143429, 0.00146571, 1.71429e-05, 0.00162143, 
63, 0.00122857, 0.00149429, 1.57143e-05, 0.00153, 
63.5, 0.00128286, 0.00131429, 2e-05, 0.00152429, 
64, 0.00144857, 0.00177714, 1.42857e-05, 0.00179714, 
64.5, 0.00131429, 0.00158286, 2.85714e-05, 0.00160857, 
65, 0.00158571, 0.00174571, 1.85714e-05, 0.00208857, 
65.5, 0.00147714, 0.00156, 1.28571e-05, 0.00174286, 
66, 0.00158286, 0.00181429, 2.42857e-05, 0.00200143, 
66.5, 0.00135429, 0.00163143, 1e-05, 0.00179714, 
67, 0.00137429, 0.00152571, 2.14286e-05, 0.00173429, 
67.5, 0.00160857, 0.00163714, 1.57143e-05, 0.00180429, 
68, 0.00126857, 0.00159143, 2.14286e-05, 0.00170143, 
68.5, 0.00113714, 0.00145429, 1.71429e-05, 0.00162143, 
69, 0.00138857, 0.00156571, 2.71429e-05, 0.00160571, 
69.5, 0.00141429, 0.00160286, 2e-05, 0.00174286, 
70, 0.00156, 0.00145143, 1.85714e-05, 0.00176286, 
70.5, 0.00122571, 0.00151143, 1.42857e-05, 0.00155714, 
71, 0.00139429, 0.00164571, 2.28571e-05, 0.00167857, 
